region_id,region,region_alias,province_id,province,city_id,city,barangay_id,barangay,population,province_cleaned,full_match_successful
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34221,SILONGAN  (BGY. 5),692,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34220,SIKATUNA  (BGY. 10),102,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34219,SAN VICENTE,13326,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34218,SAN MATEO,2158,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34217,SAN IGNACIO  (BGY. 15),2532,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34216,RAJAH SOLIMAN  (BGY. 4),527,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1297,JABONGA,34293,POBLACION (JABONGA),3713,AGUSAN DEL NORTE,0
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34215,PINAMANCULAN,2091,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34234,DULAG,1585,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34258,POBLACION 1,966,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34235,FLORIDA,2314,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1294,BUTUAN CITY,34237,PAGATPATAN,4399,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34256,LA UNION,5917,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34255,KAUSWAGAN,2561,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34254,KATUGASAN,1396,AGUSAN DEL NORTE,1
14,CARAGA,REGION XIII,66,AGUSAN DEL NORTE,1295,CABADBARAN CITY,34253,DEL PILAR,4853,AGUSAN DEL NORTE,1
